RideID,tpep_pickup_datetime,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,total_amount,DelayFactor
1,1/29/16 9:18,10.2,-73.87276459,40.77375412,-73.97306061,40.76177216,49.59,9
2,1/29/16 9:19,8.6,-73.87093353,40.77375793,-73.98275757,40.74280548,44.2,5
3,1/29/16 9:19,2,-73.87280273,40.77383423,-73.90664673,40.77003479,9.3,1
4,1/29/16 9:19,2.1,-73.87476349,40.77393723,-73.88224792,40.75431061,12.96,0
5,1/29/16 9:20,12.16,-73.87284851,40.77407074,-73.98896027,40.73488235,44.34,0
6,1/29/16 9:20,10.03,-73.87290955,40.77415085,-73.97041321,40.76184082,40.34,5
7,1/29/16 9:20,10.8,-73.87314606,40.77413559,-73.90565491,40.67872238,34.8,6
8,1/29/16 9:20,8.7,-73.87096405,40.77394104,-73.98149872,40.73990631,44.14,0
9,1/29/16 9:20,7.7,-73.87288666,40.77402115,-73.95404816,40.78702927,41.19,0
10,1/2/16 0:46,4.35,-73.87316132,40.77404785,-73.86026001,40.73835373,14.8,0
11,1/2/16 1:02,12.07,-73.8731308,40.77397919,-73.92359924,40.67626953,34.3,0
12,1/2/16 1:13,10.38,-73.87187195,40.77405167,-74.00473022,40.72862625,30.8,8
13,1/2/16 1:43,9.56,-73.87445831,40.77402115,-73.99331665,40.73611069,40.61,0
14,1/2/16 1:43,8.4,-73.8745575,40.77413177,-73.98021698,40.74549866,30.95,7
15,1/2/16 1:43,9.5,-73.87284088,40.77399826,-73.9961853,40.73236465,40.59,0
16,1/2/16 1:45,11.65,-73.87464905,40.77406693,-73.99416351,40.76073837,44.84,0
17,1/2/16 1:47,8.8,-73.87252808,40.77413559,-73.9710083,40.69420242,28.8,2
18,1/2/16 1:47,8.7,-73.87294006,40.77397156,-73.96870422,40.69245148,31.55,7
19,1/2/16 1:47,7.29,-73.87474823,40.77389145,-73.94780731,40.79600906,34.01,4
20,1/2/16 1:50,15.4,-73.87299347,40.7740097,-74.01566315,40.71164322,52.34,0
21,1/2/16 1:50,4,-73.87454224,40.77407074,-73.82662964,40.75839615,14.8,0
22,1/2/16 1:51,8.3,-73.8745575,40.77416611,-73.96514893,40.80118179,40.39,0
23,1/2/16 1:54,6.51,-73.87265015,40.77405167,-73.94850922,40.7245903,20.8,0
24,1/2/16 1:55,8.09,-73.87478638,40.77388,-73.97926331,40.74985123,35.81,3
25,1/2/16 1:55,7.05,-73.8747406,40.77391052,-73.95628357,40.71598816,25.56,0
26,1/2/16 1:55,6.63,-73.87492371,40.77386856,-73.94763184,40.71711731,20.3,0
27,1/2/16 1:55,11.7,-73.87458038,40.77409744,-73.97686768,40.66868973,55.3,0
28,1/2/16 1:55,7.6,-73.8744812,40.77397919,-73.94851685,40.7849617,34.61,0
29,1/2/16 1:55,11.72,-73.87291718,40.77397919,-73.97801971,40.67285919,39.3,4
30,1/2/16 1:56,2.7,-73.87277985,40.77423477,-73.91423798,40.75941467,14.75,0
31,1/2/16 1:56,8.4,-73.87263489,40.77410507,-73.94171143,40.83433533,38.19,0
32,1/2/16 1:56,9.93,-73.87289429,40.77412415,-73.97793579,40.77871323,40.34,1
33,1/2/16 1:57,9,-73.87316895,40.77409744,-73.9510498,40.82078552,38.79,3
34,1/2/16 1:57,9.72,-73.8731842,40.77406311,-73.96656799,40.76429367,40.61,5
35,1/2/16 1:59,8.03,-73.87296295,40.77392197,-73.9402771,40.82685852,33.84,7
36,1/2/16 1:59,10.77,-73.87458038,40.77408981,-73.88604736,40.68064117,32.3,3
37,1/2/16 2:00,7.8,-73.87454987,40.77412415,-73.9773407,40.74633408,29.34,0
38,1/2/16 2:01,10.01,-73.87301636,40.77409363,-73.96712494,40.75724792,37.84,4
39,1/2/16 2:01,9.19,-73.87496948,40.77384186,-73.98516083,40.73598862,36.8,5
40,1/2/16 2:02,13.57,-73.87351227,40.77397156,-73.9894104,40.76823044,47.16,0
41,1/2/16 2:03,11.82,-73.87500763,40.7738533,-73.99580383,40.74827194,37.3,1
42,1/2/16 2:03,9.66,-73.87441254,40.77396011,-73.94889069,40.68338776,34.3,9
43,1/2/16 2:03,7.6,-73.87300873,40.77408218,-73.96052551,40.81674957,37.89,0
44,1/2/16 2:04,7.55,-73.87299347,40.77416992,-73.94747925,40.78007889,28.84,0
